Timestamp,title,genres
2026-02-25 07:52:03,breaking bad,crime
2026-02-25 07:52:05,Stranger Things,Sci-Fi
2026-02-25 07:52:07,Game of thrones,Fantasy
2026-02-25 07:52:09,The Office,comedy
2026-02-25 07:52:11,The witcher,Fantasy
2026-02-25 07:52:13,THE MANDALORIAN,Sci-Fi
2026-02-25 07:52:15,friends,Comedy
2026-02-25 07:52:17,The Boys,Action
2026-02-25 07:52:19,The Crown,Drama
2026-02-25 07:52:21,Better call saul,Crime
2026-02-25 07:52:23,Dark,Sci-Fi
2026-02-25 07:52:25,The Expanse,Sci-Fi
2026-02-25 07:52:27,House of Cards,Drama
2026-02-25 07:52:29,The Last Of Us,Drama
2026-02-25 07:52:31,westworld,Sci-Fi
2026-02-25 07:52:33,The Simpsons,Animation
2026-02-25 07:52:35,Arcane,animation
2026-02-25 07:52:11,The witcher,Fantasy
2026-02-25 07:52:13,THE MANDALORIAN,Sci-Fi
2026-02-25 07:52:15,friends,Comedy
2026-02-25 07:52:17,The Boys,Action
2026-02-25 07:52:19,The Crown,Drama
2026-02-25 07:52:21,Better call saul,Crime
2026-02-25 07:52:23,Dark,Sci-Fi
2026-02-25 07:52:25,The Expanse,Sci-Fi
2026-02-25 07:52:27,House of Cards,Drama
2026-02-25 07:52:29,The Last Of Us,Drama
2026-02-25 07:52:31,westworld,Sci-Fi
2026-02-25 07:52:33,The Simpsons,Animation
2026-02-25 07:52:35,Arcane,animation
2026-02-25 07:52:37,Peaky Blinders,Crime
2026-02-25 07:52:39,Lost,Drama
2026-02-25 07:52:41,How i met your mother,Comedy
2026-02-25 07:52:43,The Walking Dead,Drama
2026-02-25 07:52:45,True Detective,Crime
2026-02-25 07:52:47,The Wire,Crime
2026-02-25 07:52:49,Severance,Sci-Fi
2026-02-25 07:52:51,The 100,Sci-Fi
2026-02-25 07:52:53,Brooklyn nine-nine,Comedy
2026-02-25 07:52:55,Mr. Robot,Thriller
2026-02-25 07:52:57,The Good Place,Comedy
2026-02-25 07:52:59,House M.D.,Drama
2026-02-25 07:53:01,Sherlock,Crime
2026-02-25 07:53:03,Vikings,Drama
2026-02-25 07:53:05,The Umbrella Academy,Fantasy
2026-02-25 07:53:07,The Handmaid's Tale,Drama
2026-02-25 07:53:09,Supernatural,Fantasy
2026-02-25 07:53:11,The big bang theory,Comedy
2026-02-25 07:53:13,Black Mirror,Sci-Fi
2026-02-25 07:53:15,The Punisher,Action
2026-02-25 07:53:17,The Flash,Action
2026-02-25 07:53:19,Arrow,Action
2026-02-25 07:53:21,Lucifer,Fantasy
2026-02-25 07:53:23,The Sopranos,Crime
2026-02-25 07:53:25,Ozark,Crime
2026-02-25 07:53:27,The Blacklist,Thriller
2026-02-25 07:53:29,The Night Agent,Thriller
2026-02-25 07:53:31,The Rookie,Crime
2026-02-25 07:53:33,The Mentalist,Crime
2026-02-25 07:53:35,Modern Family,Comedy
2026-02-25 07:53:37,Community,Comedy
2026-02-25 07:53:39,The Dragon Prince,Animation
2026-02-25 07:53:41,Avatar: the last airbender,Animation
2026-02-25 07:53:43,The Legend of Korra,Animation
2026-02-25 07:53:45,The Sandman,Fantasy
2026-02-25 07:53:47,Shadow and Bone,Fantasy
2026-02-25 07:53:49,The Peripheral,Sci-Fi
2026-02-25 07:53:51,Foundation,Sci-Fi
2026-02-25 07:53:53,The Lincoln Lawyer,Drama
2026-02-25 07:53:55,Jack Ryan,Action
2026-02-25 07:53:57,Reacher,Action
2026-02-25 07:53:59,The Witcher: Blood Origin,Fantasy
2026-02-25 07:54:01,The Serpent,Crime
2026-02-25 07:54:03,The haunting of hill house,Horror
2026-02-25 07:54:05,Midnight mass,Horror
2026-02-25 07:54:07,The Outsider,Thriller
2026-02-25 07:54:09,The Morning Show,Drama
2026-02-25 07:54:11,Succession,Drama
2026-02-25 07:54:13,The Bear,Drama
2026-02-25 07:54:15,The IT crowd,Comedy
2026-02-25 07:54:17,Silicon valley,Comedy
2026-02-25 07:54:19,The Orville,Sci-Fi
2026-02-25 07:54:21,Star Trek: Discovery,Sci-Fi
2026-02-25 07:54:23,Star trek: picard,Sci-Fi
2026-02-25 07:54:25,The Good Doctor,Drama
2026-02-25 07:54:27,9-1-1,Drama
2026-02-25 07:54:29,Chicago Fire,Drama
2026-02-25 07:54:31,Chicago PD,Crime
2026-02-25 07:54:33,Chicago Med,Drama
2026-02-25 07:54:35,The Rain,Sci-Fi
2026-02-25 07:54:37,The Society,Drama
2026-02-25 07:54:39,Outer banks,Drama
2026-02-25 07:54:41,The Queen's Gambit,Drama
2026-02-25 07:54:43,The Night Manager,Thriller
2026-02-25 07:54:45,The Pacific,Drama
2026-02-25 07:54:47,Band of brothers,Drama
2026-02-25 07:54:49,The Tudors,Drama
2026-02-25 07:54:51,Marco polo,Drama
2026-02-25 07:54:53,The Man in the High Castle,Sci-Fi
2026-02-25 07:54:55,The leftovers,Drama
2026-02-25 07:54:57,The Killing,Crime
2026-02-25 07:54:59,The Fall,Crime
2026-02-25 07:55:01,The Americans,Thriller
2026-02-25 07:55:03,The West Wing,Drama
2026-02-25 07:55:05,The newsroom,Drama
2026-02-25 07:55:07,The Rookie: Feds,Crime
2026-02-25 07:55:09,The Good Wife,Drama
2026-02-25 07:55:11,The Good Fight,Drama
2026-02-25 07:55:13,The marvelous mrs. maisel,Comedy
2026-02-25 07:55:15,The Grand Tour,Reality
2026-02-25 07:55:17,Top gear,Reality
2026-02-25 07:55:19,Planet earth,Documentary
2026-02-25 07:55:21,Blue planet,Documentary
